Neighborhood,Area:,Population:,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,med rent
"Loop Road, Raleigh, NC",0.048,17,2.3 people,1.1,1.6,7,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.4%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,18.7%,81.9%,$795
"Lost Valley, Raleigh, NC",0.044,11,21.0 people,1.7,1.7,6,36.7 years,30.7 years,"$65,332",48.6%,38.8%,41.2%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.2%,96.9%,$853
"Lowden Street, Raleigh, NC",0.003,14,2.5 people,1.7,2.0,7,38.0 years,40.3 years,"$103,438",38.1%,56.9%,41.9%,61.5%,3.8%,69.1%,1.2%,10.6%,10.9%,0.0%,3.7%,89.1%,$798
"Lyndhurst Manor, Raleigh, NC",0.018000000000000002,7,2.2 people,4.1,1.7,4,52.4 years,41.7 years,"$49,125",22.5%,66.1%,44.4%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,71.8%,85.3%,$678
"Lynn Ridge Townhomes, Raleigh, NC",0.005,4,1.7 people,1.2,2.0,1,44.7 years,43.6 years,"$50,573",58.9%,36.7%,21.1%,40.2%,2.8%,38.3%,1.6%,20.3%,14.2%,0.0%,40.8%,81.5%,$762
"Lynn Road, Raleigh, NC",0.003,8,2.1 people,1.2,2.3,4,41.7 years,43.2 years,"$70,521",46.2%,43.3%,38.1%,40.0%,10.1%,40.6%,0.4%,14.9%,10.0%,0.0%,14.6%,69.9%,$843
"Lynnbrook, Raleigh, NC",0.02,57,2.1 people,1.2,2.3,26,41.7 years,43.2 years,"$70,521",46.2%,43.3%,34.7%,40.0%,10.1%,40.6%,0.4%,14.9%,10.0%,0.0%,13.3%,69.9%,$843
"Lynndale Estates, Raleigh, NC",0.043,106,25.0 people,1.3,2.0,55,51.2 years,49.2 years,"$68,162",52.6%,40.0%,40.8%,37.6%,6.6%,47.6%,0.7%,13.0%,14.4%,1.0%,6.2%,69.4%,$846
"Lynndale Townhomes, Raleigh, NC",0.002,4,2.6 people,1.8,1.9,1,35.9 years,36.5 years,"$95,333",46.2%,43.3%,40.5%,57.8%,10.1%,58.2%,0.4%,15.8%,9.2%,0.0%,6.2%,85.0%,"$1,383"
"Lyon Park, Raleigh, NC",0.03,58,1.8 people,1.1,2.0,28,55.6 years,49.1 years,"$77,708",38.2%,56.0%,48.4%,23.1%,5.5%,40.9%,0.3%,18.4%,18.5%,0.0%,7.4%,65.4%,$789
"Madison Park, Raleigh, NC",0.037000000000000005,59,2.2 people,1.4,1.8,26,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.6%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.0%,5.5%,78.1%,$861
"Madonna Acres, Raleigh, NC",0.027000000000000003,171,2.4 people,1.3,1.5,57,20.3 years,20.1 years,"$30,398",29.6%,67.7%,1.7%,48.2%,1.6%,6.6%,1.0%,60.5%,27.5%,0.0%,10.8%,93.1%,$556
"Magnolia Court, Raleigh, NC",0.008,18,2.1 people,1.2,2.2,9,59.9 years,57.1 years,"$99,318",54.2%,39.7%,47.1%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.3%,73.4%,$872
"Magnolia Ridge, Raleigh, NC",0.006999999999999999,15,2.1 people,1.2,2.2,7,59.9 years,57.1 years,"$99,318",54.2%,39.7%,48.4%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.7%,73.4%,$872
"Maplewood Forest, Raleigh, NC",0.024,47,47.6 people,1.3,2.0,20,38.7 years,30.8 years,"$56,482",25.9%,60.2%,12.4%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,3.2%,19.3%,84.5%,"$1,013"
"Markwood, Raleigh, NC",0.015,10,28.0 people,2.0,1.7,3,55.2 years,49.4 years,"$90,982",36.9%,42.8%,31.8%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,16.9%,64.1%,"$1,215"
"Marlowe Court, Raleigh, NC",0.006999999999999999,9,2.4 people,1.6,2.2,4,49.3 years,51.7 years,"$99,444",30.1%,65.8%,36.5%,41.4%,3.4%,65.0%,0.6%,12.6%,13.3%,0.0%,5.4%,56.7%,"$1,486"
"Masota, Raleigh, NC",0.021,5,21.0 people,1.7,1.7,3,36.7 years,30.7 years,"$65,332",48.6%,38.8%,42.6%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.5%,96.9%,$853
"Mccullers Estates, Raleigh, NC",0.037000000000000005,18,3.5 people,9.6,2.2,8,49.4 years,50.7 years,"$119,920",31.9%,62.2%,33.7%,65.2%,5.5%,77.3%,0.5%,13.7%,8.6%,0.0%,7.7%,84.1%,$738
"Meadow Hill Place, Raleigh, NC",0.004,10,2.7 people,2.5,2.2,5,43.1 years,37.8 years,"$113,750",36.9%,54.2%,32.3%,53.0%,6.7%,68.8%,2.3%,9.7%,11.5%,0.0%,4.2%,69.2%,$982
"Meadowbrook, Raleigh, NC",0.015,50,2.2 people,1.1,1.5,22,33.9 years,35.8 years,"$45,493",37.6%,55.3%,21.0%,50.4%,5.9%,27.5%,1.2%,21.2%,16.3%,0.0%,24.5%,79.1%,$674
"Meadowcreek, Raleigh, NC",0.028,87,2.6 people,0.7,1.6,35,33.6 years,26.8 years,"$25,982",28.8%,64.2%,5.3%,36.5%,6.4%,14.4%,0.5%,20.4%,27.4%,1.3%,32.4%,67.5%,$610
"Meadowwood Townhomes, Raleigh, NC",0.048,40,1.7 people,1.6,1.6,20,29.0 years,28.1 years,"$60,271",36.6%,40.3%,39.0%,26.6%,21.5%,25.2%,1.6%,26.9%,28.5%,0.0%,14.0%,86.6%,$888
"Melanie Acres, Raleigh, NC",0.025,6,2.9 people,1.8,2.4,3,29.9 years,32.8 years,"$40,893",23.9%,53.7%,15.2%,61.8%,19.3%,39.9%,3.1%,20.9%,19.5%,16.7%,20.0%,73.1%,$787
"Meredith, Raleigh, NC",0.402,336,31.7 people,1.6,1.7,148,53.0 years,47.6 years,"$84,814",36.9%,42.9%,32.9%,43.8%,18.7%,50.3%,1.4%,21.5%,13.6%,4.5%,6.7%,60.2%,"$1,379"
"Mial Plantation, Raleigh, NC",0.16699999999999998,43,3.2 people,11.3,2.6,20,44.8 years,46.0 years,"$108,861",31.9%,62.2%,33.3%,65.2%,5.5%,77.3%,0.5%,13.7%,8.6%,0.0%,8.8%,84.1%,$670
"Middleton Place, Raleigh, NC",0.006,18,2.6 people,1.7,2.1,9,44.3 years,37.0 years,"$94,000",39.7%,52.0%,40.1%,50.0%,7.1%,59.7%,1.1%,12.5%,18.4%,0.0%,1.2%,59.7%,$745
"Midland Townhomes at Crown, Raleigh, NC",0.017,26,2.2 people,1.4,1.8,11,40.9 years,40.8 years,"$55,078",44.4%,45.0%,27.0%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.0%,5.6%,78.1%,$861
"Milburnie Place, Raleigh, NC",0.006,11,2.4 people,1.6,1.7,5,33.2 years,36.9 years,"$40,338",25.3%,67.5%,5.2%,34.0%,6.7%,31.8%,0.5%,33.4%,18.0%,0.0%,39.5%,76.3%,$827
"Milburnie Road Property, Raleigh, NC",0.003,5,2.4 people,1.6,1.7,2,33.2 years,36.9 years,"$40,338",25.3%,67.5%,5.3%,34.0%,6.7%,31.8%,0.5%,33.4%,18.0%,0.0%,40.6%,76.3%,$827
"Mill Stone Townhomes, Raleigh, NC",0.004,1,69.1%,6.9%,259.8,2.2 people,38.4%,32.8%,"$49,125",1.7,10.7%,13.2%,111.7%,85.3%,25.1%,4.1,22.5%,66.1%,0.8%,0.0%,1.2%,$678
"Millbrook Estates, Raleigh, NC",0.04,67,1.9 people,0.4,1.7,29,62.8 years,45.3 years,"$51,481",38.7%,47.6%,39.8%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,4.6%,7.1%,80.0%,"$2,295"
"Millbrook Village, Raleigh, NC",0.009000000000000001,27,3.6 people,1.6,1.7,16,23.5 years,25.4 years,"$33,648",27.1%,36.2%,6.1%,60.3%,35.8%,17.2%,0.9%,24.5%,31.0%,21.7%,14.1%,87.3%,$717
"Millstream, Raleigh, NC",0.008,19,2.6 people,2.0,2.2,10,45.6 years,48.1 years,"$120,112",32.5%,62.2%,31.3%,68.4%,3.2%,78.2%,2.1%,6.8%,6.0%,0.0%,1.6%,69.4%,"$1,486"
"Mine Valley, Raleigh, NC",0.174,387,2.1 people,1.2,2.2,197,59.9 years,57.1 years,"$99,318",54.2%,39.7%,46.8%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,17.3%,73.4%,$872
"Monie Lane, Raleigh, NC",0.002,17,2.5 people,0.9,1.7,7,40.6 years,34.3 years,"$34,036",28.8%,64.2%,14.5%,36.3%,6.4%,23.9%,0.5%,19.1%,24.2%,0.0%,24.8%,70.5%,$595
"Montague, Raleigh, NC",0.027000000000000003,16,2.3 people,1.7,1.8,8,40.8 years,36.0 years,"$53,929",42.0%,45.8%,26.1%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.9%,86.6%,$895
"Montclair, Raleigh, NC",0.032,26,1.7 people,1.2,2.0,12,44.7 years,43.6 years,"$50,573",58.9%,36.7%,20.7%,40.2%,2.8%,38.3%,1.6%,20.3%,14.2%,0.0%,40.1%,81.5%,$762
"Mordecai, Raleigh, NC",0.282,818,8.8 people,1.2,1.8,360,30.4 years,34.9 years,"$49,997",40.6%,53.9%,25.6%,42.3%,4.4%,33.5%,1.0%,26.7%,17.1%,1.4%,20.5%,80.7%,$738
"Mordecai Townes on Courtland, Raleigh, NC",0.002,2,29.0 people,1.4,2.0,1,39.2 years,37.2 years,"$88,295",42.7%,53.0%,56.4%,46.0%,3.3%,46.0%,1.0%,10.3%,21.3%,0.0%,2.5%,86.1%,$875
"Mordecai Village, Raleigh, NC",0.022,38,29.0 people,1.4,2.0,21,39.2 years,37.2 years,"$88,295",42.7%,53.0%,41.6%,46.0%,3.3%,46.0%,1.0%,10.3%,21.3%,0.0%,1.9%,86.1%,$875
"Morgans Mill Townhomes, Raleigh, NC",0.003,1,55.3%,6.9%,259.8,2.2 people,38.4%,32.8%,"$49,125",1.7,10.7%,13.2%,89.4%,85.3%,25.1%,4.1,22.5%,66.1%,0.8%,0.0%,1.2%,$678
"Mount Vernon (Westover), Raleigh, NC",0.128,100,2.1 people,1.5,2.1,53,30.9 years,28.7 years,"$62,857",44.5%,42.4%,37.8%,32.2%,11.1%,27.5%,2.0%,25.1%,29.7%,2.1%,5.2%,75.6%,$905
"Mountainbrook, Raleigh, NC",0.04,89,2.1 people,1.2,2.2,45,59.9 years,57.1 years,"$99,318",54.2%,39.7%,47.2%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.3%,73.4%,$872
"Mt Vernon Park, Raleigh, NC",0.025,20,2.1 people,1.5,2.1,10,30.9 years,28.7 years,"$62,857",44.5%,42.4%,37.7%,32.2%,11.1%,27.5%,2.0%,25.1%,29.7%,0.0%,5.2%,75.6%,$905
"Neuse Ridge, Raleigh, NC",0.177,24,4.1 people,1.8,2.4,11,41.7 years,45.8 years,"$57,086",23.9%,53.7%,14.1%,61.8%,19.3%,39.9%,3.1%,20.9%,19.5%,25.0%,18.5%,73.1%,"$1,099"
"Neuse Ridge, Raleigh, NC",0.177,24,4.1 people,1.8,2.4,11,41.7 years,45.8 years,"$57,086",23.9%,53.7%,14.1%,61.8%,19.3%,39.9%,3.1%,20.9%,19.5%,25.0%,18.5%,73.1%,"$1,099"
"Neuse River Estates, Raleigh, NC",0.188,55,2.7 people,1.8,2.3,24,42.0 years,44.5 years,"$53,409",31.9%,62.2%,11.4%,60.5%,5.5%,45.8%,0.5%,15.2%,14.5%,0.0%,15.6%,60.1%,$631
"New Bern Estates, Raleigh, NC",0.012,22,2.6 people,1.2,2.8,10,26.8 years,27.2 years,"$28,650",20.4%,57.5%,10.3%,54.1%,21.1%,16.6%,1.0%,28.1%,29.8%,11.1%,22.9%,37.5%,$665
"Newton Parish Townhomes, Raleigh, NC",0.047,75,2.2 people,1.4,1.8,33,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.4%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.0%,5.4%,78.1%,$861
"Nine North, Raleigh, NC",0.006999999999999999,9,1.9 people,1.4,1.8,4,42.1 years,43.6 years,"$98,654",46.3%,49.2%,37.5%,39.1%,2.7%,41.1%,1.8%,12.2%,14.5%,0.0%,11.6%,68.9%,"$1,613"
"North Bend, Raleigh, NC",0.094,185,1.9 people,1.0,1.7,85,47.5 years,39.3 years,"$72,533",42.6%,43.0%,31.8%,37.7%,11.6%,35.4%,2.7%,13.1%,18.1%,0.0%,12.0%,61.9%,$810
"North Boylan, Raleigh, NC",0.042,432,1.3 people,0.9,1.4,267,34.9 years,43.0 years,"$32,300",48.3%,45.4%,352.9%,6.1%,5.9%,7.8%,0.4%,15.7%,20.3%,0.5%,78.5%,92.2%,$649
"North College Park, Raleigh, NC",0.071,25,2.3 people,1.1,1.6,11,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.7%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,18.9%,81.9%,$795
"North Farms, Raleigh, NC",0.079,116,2.5 people,1.8,2.2,61,37.5 years,32.9 years,"$74,803",34.4%,38.8%,39.7%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,15.5%,19.7%,90.6%,$928
"North Haven, Raleigh, NC",0.192,523,2.5 people,1.3,2.1,248,32.6 years,30.9 years,"$34,719",30.5%,43.2%,23.7%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,8.9%,11.1%,84.7%,$693
"North Hills Place, Raleigh, NC",0.006,4,1.7 people,1.2,2.0,2,44.7 years,43.6 years,"$50,573",58.9%,36.7%,24.4%,40.2%,2.8%,38.3%,1.6%,20.3%,14.2%,0.0%,47.1%,81.5%,$762
"North Hills, Raleigh, NC",0.762,"1,843",2.5 people,1.7,2.2,885,41.6 years,38.1 years,"$107,345",36.9%,54.2%,35.9%,46.9%,6.7%,58.7%,2.3%,15.5%,11.3%,0.0%,5.0%,65.0%,"$1,125"
"North Park, Raleigh, NC",0.04,97,2.2 people,2.0,1.8,51,37.3 years,34.4 years,"$76,516",54.2%,39.7%,33.5%,49.9%,5.2%,44.3%,0.9%,13.0%,20.1%,1.1%,12.8%,76.3%,$740
"North Ridge, Raleigh, NC",1.769,"2,655",2.1 people,0.4,1.7,"1,147",70.3 years,50.7 years,"$57,595",38.7%,47.6%,39.3%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,19.4%,7.1%,80.0%,"$2,568"
"North Trail, Raleigh, NC",0.05,134,2.5 people,1.3,2.1,63,32.6 years,30.9 years,"$34,719",30.5%,43.2%,23.8%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,7.4%,11.2%,84.7%,$693
"North Valley, Raleigh, NC",0.021,51,2.6 people,1.8,1.9,20,35.9 years,36.5 years,"$95,333",46.2%,43.3%,33.6%,57.8%,10.1%,58.2%,0.4%,15.8%,9.2%,0.0%,5.1%,85.0%,"$1,383"
"Northclift, Raleigh, NC",0.258,96,1.5 people,1.2,2.0,44,40.3 years,39.3 years,"$45,567",58.9%,36.7%,20.5%,40.2%,2.8%,38.3%,1.6%,20.3%,14.2%,1.0%,39.6%,81.5%,$687
"Northglen, Raleigh, NC",0.112,447,2.0 people,2.0,1.8,231,50.6 years,38.0 years,"$76,000",46.3%,49.2%,35.1%,50.6%,2.7%,61.5%,1.8%,9.6%,14.4%,0.2%,3.5%,74.2%,"$1,185"
"Northshore, Raleigh, NC",0.079,234,3.6 people,1.6,1.7,142,23.5 years,25.4 years,"$33,648",27.1%,36.2%,6.0%,60.3%,35.8%,17.2%,0.9%,24.5%,31.0%,28.7%,13.9%,87.3%,$717
"Northwood Acres, Raleigh, NC",0.091,195,2.4 people,1.6,1.8,97,45.1 years,40.3 years,"$78,003",46.3%,49.2%,36.4%,43.7%,2.7%,49.4%,1.8%,11.0%,14.4%,0.0%,6.4%,71.4%,"$1,368"
"Northwyck, Raleigh, NC",0.02,33,1.9 people,0.4,1.7,14,62.8 years,45.3 years,"$51,481",38.7%,47.6%,40.0%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,3.2%,7.2%,80.0%,"$2,295"
"Nottingham Woods, Raleigh, NC",0.022,62,2.5 people,1.3,2.0,34,48.9 years,34.3 years,"$35,000",24.2%,67.6%,3.8%,41.6%,7.6%,26.7%,0.5%,16.6%,20.7%,1.6%,34.4%,90.7%,$769
"Nowell Pointe, Raleigh, NC",0.016,12,2.1 people,1.5,2.1,6,30.9 years,28.7 years,"$62,857",44.5%,42.4%,39.9%,32.2%,11.1%,27.5%,2.0%,25.1%,29.7%,0.0%,5.5%,75.6%,$905
"Nowell Ridge, Raleigh, NC",0.012,9,2.1 people,1.5,2.1,5,30.9 years,28.7 years,"$62,857",44.5%,42.4%,40.6%,32.2%,11.1%,27.5%,2.0%,25.1%,29.7%,0.0%,5.6%,75.6%,$905
"Oak Grove, Raleigh, NC",0.004,3,33.0 people,2.1,2.3,1,23.8 years,25.3 years,"$55,139",36.9%,52.7%,30.7%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.0%,9.4%,90.9%,"$1,046"
"Oak Park, Raleigh, NC",0.34,32,0.1 people,1.5,2.2,15,1.5 years,1.5 years,"$4,645",46.3%,42.9%,35.4%,47.5%,10.3%,54.1%,0.6%,14.4%,15.5%,0.0%,3.1%,66.9%,$45
"Oak Valley, Raleigh, NC",0.021,49,2.6 people,1.8,2.1,25,53.1 years,44.2 years,"$147,857",38.2%,56.0%,37.5%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%,"$2,081"
"Oakview, Raleigh, NC",0.008,17,2.5 people,1.0,2.1,8,40.9 years,44.1 years,"$68,036",30.7%,45.0%,27.9%,50.1%,22.7%,55.5%,1.6%,15.3%,19.2%,0.0%,3.3%,56.1%,$698
"Oakwood Green, Raleigh, NC",0.004,27,23.0 people,0.9,1.8,12,33.2 years,44.6 years,"$29,514",29.6%,67.7%,28.3%,39.5%,1.6%,29.7%,1.0%,24.5%,13.6%,0.0%,19.6%,79.6%,$522
"Oakwood, Raleigh, NC",0.277,"1,540",5.9 people,0.8,1.7,735,28.5 years,30.9 years,"$37,429",34.4%,62.6%,20.8%,38.0%,2.1%,28.2%,0.9%,25.4%,23.9%,0.3%,25.4%,80.2%,$587
"Oberlin Road Townhomes, Raleigh, NC",0.003,7,2.6 people,8.8,2.2,3,46.7 years,50.2 years,"$170,625",36.5%,59.7%,33.9%,49.7%,3.0%,73.7%,0.8%,3.4%,6.5%,0.0%,1.0%,74.8%,$862
"Oberlin Village, Raleigh, NC",0.243,"1,337",2.1 people,1.5,1.9,507,30.4 years,32.3 years,"$68,549",41.7%,51.1%,20.1%,43.6%,6.5%,33.8%,0.8%,33.1%,17.0%,0.2%,49.5%,80.4%,$880
"Old English Downs, Raleigh, NC",0.033,72,2.1 people,1.2,2.2,36,59.9 years,57.1 years,"$99,318",54.2%,39.7%,47.1%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.3%,73.4%,$872
"Old Province Townhomes, Raleigh, NC",0.006999999999999999,15,2.1 people,1.2,2.2,7,59.9 years,57.1 years,"$99,318",54.2%,39.7%,48.4%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.7%,73.4%,$872
"Old Stone Crossing, Raleigh, NC",0.045,11,21.0 people,1.7,1.7,6,36.7 years,30.7 years,"$65,332",48.6%,38.8%,42.3%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.4%,96.9%,$853
"Old Well at Summerfield, Raleigh, NC",0.011,17,2.2 people,1.4,1.8,7,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.9%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.0%,5.5%,78.1%,$861
"Olde Raleigh, Raleigh, NC",0.215,82,2.5 people,1.5,2.2,38,6.1 years,6.6 years,"$16,443",46.3%,42.9%,34.9%,47.3%,10.3%,53.8%,0.6%,14.5%,15.5%,0.5%,3.2%,66.8%,$219
"Olde Towne, Raleigh, NC",0.003,8,2.3 people,1.5,2.2,4,39.0 years,41.1 years,"$123,293",46.3%,42.9%,37.7%,47.5%,10.3%,54.1%,0.6%,14.4%,15.5%,0.0%,3.3%,66.9%,"$1,207"
"One Fifty Saint Marys Townhomes, Raleigh, NC",0.003,13,1.9 people,1.6,1.6,5,39.2 years,35.8 years,"$48,068",48.7%,46.9%,40.2%,32.1%,4.0%,27.5%,0.4%,20.8%,19.5%,0.0%,2.4%,81.5%,$727
"Oxford Park, Raleigh, NC",0.08800000000000001,434,2.3 people,1.6,2.0,215,42.8 years,40.2 years,"$95,193",37.8%,57.2%,38.8%,59.6%,3.8%,65.7%,1.2%,10.9%,10.6%,0.3%,2.8%,86.8%,$811
"Pace Street, Raleigh, NC",0.003,7,2.5 people,1.6,1.7,3,40.5 years,39.8 years,"$50,081",37.6%,55.3%,18.6%,51.0%,5.9%,32.0%,1.2%,8.4%,18.4%,0.0%,12.4%,80.4%,$745
"Park Glen Townhomes, Raleigh, NC",0.01,21,2.4 people,1.6,1.7,9,33.2 years,36.9 years,"$40,338",25.3%,67.5%,4.9%,34.0%,6.7%,31.8%,0.5%,33.4%,18.0%,0.0%,37.3%,76.3%,$827
"Park Rowe Townhomes, Raleigh, NC",0.002,7,1.6 people,1.2,1.5,4,33.2 years,38.0 years,"$60,882",48.3%,45.4%,43.4%,25.6%,5.9%,21.6%,0.4%,23.9%,27.1%,0.0%,2.7%,85.7%,$871
"Park at Sanford Road, Raleigh, NC",0.027000000000000003,10,2.2 people,4.1,1.7,6,52.4 years,41.7 years,"$49,125",22.5%,66.1%,48.4%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,78.2%,85.3%,$678
"Parker Townhomes, Raleigh, NC",0.002,7,1.9 people,1.4,1.5,3,47.3 years,38.1 years,"$57,803",38.1%,56.9%,18.5%,39.6%,3.8%,32.8%,1.2%,14.7%,9.9%,0.0%,15.8%,75.6%,$908
"Parklyn Woods, Raleigh, NC",0.026,33,2.4 people,1.2,2.2,13,40.1 years,45.4 years,"$78,250",54.3%,40.8%,22.0%,62.3%,1.8%,52.7%,3.3%,19.8%,6.4%,0.0%,11.2%,81.6%,$846
"Parkside, Raleigh, NC",0.023,66,36.0 people,1.3,2.0,28,29.3 years,23.3 years,"$42,756",25.9%,60.2%,12.4%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,1.8%,19.3%,84.5%,$767
"Parliament Pointe at Greystone, Raleigh, NC",0.016,38,2.2 people,2.0,1.8,19,37.3 years,34.4 years,"$76,516",54.2%,39.7%,33.2%,49.9%,5.2%,44.3%,0.9%,13.0%,20.1%,0.0%,12.7%,76.3%,$740
"Pats Branch, Raleigh, NC",0.015,3,21.0 people,1.7,1.7,2,36.7 years,30.7 years,"$65,332",48.6%,38.8%,50.0%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,8.7%,96.9%,$853
"Patterson Green, Raleigh, NC",0.002,17,2.5 people,0.9,1.7,7,40.6 years,34.3 years,"$34,036",28.8%,64.2%,14.5%,36.3%,6.4%,23.9%,0.5%,19.1%,24.2%,0.0%,24.8%,70.5%,$595
"Peartree Lane, Raleigh, NC",0.006,10,2.6 people,1.2,2.8,5,26.8 years,27.2 years,"$28,650",20.4%,57.5%,11.0%,54.1%,21.1%,16.6%,1.0%,28.1%,29.8%,0.0%,24.4%,37.5%,$665
"Pecan Townes, Raleigh, NC",0.013,23,1.9 people,0.4,1.7,9,62.8 years,45.3 years,"$51,481",38.7%,47.6%,39.4%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,0.0%,7.1%,80.0%,"$2,295"
"Pepperdyne, Raleigh, NC",0.035,13,0.6 people,1.6,1.7,8,4.0 years,4.3 years,"$5,664",27.1%,36.2%,6.3%,60.3%,35.8%,17.2%,0.9%,24.5%,31.0%,25.0%,14.6%,87.3%,$121
"Peyton Hall, Raleigh, NC",0.003,1,41.2%,24.1%,259.8,2.3 people,34.1%,37.7%,"$53,929",1.8,10.9%,24.9%,31.4%,86.6%,22.6%,1.7,42.0%,45.8%,1.3%,0.0%,5.5%,$895
"Pine Hall Plantation, Raleigh, NC",0.093,57,2.3 people,1.7,1.8,27,40.8 years,36.0 years,"$53,929",42.0%,45.8%,24.9%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.0%,86.6%,$895
"Pine Knoll Townes, Raleigh, NC",0.031,30,2.4 people,1.7,1.8,17,47.7 years,33.2 years,"$59,583",34.9%,45.3%,14.1%,65.4%,18.1%,38.1%,1.6%,13.4%,29.4%,0.0%,20.5%,74.3%,$889
"Pine Ridge, Raleigh, NC",0.031,90,3.6 people,1.6,1.7,55,23.5 years,25.4 years,"$33,648",27.1%,36.2%,6.0%,60.3%,35.8%,17.2%,0.9%,24.5%,31.0%,25.6%,13.9%,87.3%,$717
"Pinecrest, Raleigh, NC",0.065,169,4.2 people,1.0,2.0,82,58.3 years,51.1 years,"$68,083",29.8%,48.2%,25.9%,49.1%,20.6%,53.4%,1.4%,15.9%,19.7%,2.4%,4.6%,57.0%,"$1,021"
"Pinecrest, Raleigh, NC",0.065,169,4.2 people,1.0,2.0,82,58.3 years,51.1 years,"$68,083",29.8%,48.2%,25.9%,49.1%,20.6%,53.4%,1.4%,15.9%,19.7%,2.4%,4.6%,57.0%,"$1,021"
"Pinecrest, Raleigh, NC",0.065,169,4.2 people,1.0,2.0,82,58.3 years,51.1 years,"$68,083",29.8%,48.2%,25.9%,49.1%,20.6%,53.4%,1.4%,15.9%,19.7%,2.4%,4.6%,57.0%,"$1,021"
"Pineview, Raleigh, NC",0.051,86,2.8 people,1.8,2.0,45,32.1 years,28.8 years,"$72,538",37.0%,39.4%,23.1%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,3.7%,8.7%,75.5%,$777
"Pinewinds, Raleigh, NC",0.051,105,2.4 people,1.5,2.3,50,42.4 years,26.6 years,"$52,948",26.9%,57.8%,15.4%,55.1%,12.5%,39.9%,2.8%,21.7%,20.7%,1.9%,18.1%,72.4%,$841
"Plantation Road, Raleigh, NC",0.001,1,19.9%,2.6%,259.8,2.3 people,31.8%,48.7%,"$52,589",1.9,22.7%,16.8%,16.7%,81.7%,30.4%,1.6,30.7%,45.0%,1.6%,0.0%,11.3%,$834
"Pleasant Hills, Raleigh, NC",0.017,47,2.1 people,1.2,2.3,21,41.7 years,43.2 years,"$70,521",46.2%,43.3%,34.8%,40.0%,10.1%,40.6%,0.4%,14.9%,10.0%,0.0%,13.3%,69.9%,$843
"Pleasant Ridge (Ramsgate), Raleigh, NC",0.14800000000000002,134,33.0 people,2.1,2.3,67,23.8 years,25.3 years,"$55,139",36.9%,52.7%,23.9%,35.8%,10.1%,34.1%,0.3%,31.2%,31.7%,0.8%,7.3%,90.9%,"$1,046"
"Plymouth Court, Raleigh, NC",0.006,19,2.1 people,1.5,1.6,9,37.2 years,35.8 years,"$54,432",25.3%,67.5%,31.1%,38.4%,6.7%,30.0%,0.5%,25.9%,16.5%,0.0%,14.1%,56.3%,$774
